pass,boundary,port_ex,left_stations,right_stations,load_left,load_right,n_nodes,status,solcount,obj,bound,gap,runtime,nodes,changed
1,1,583,43,61,41997,42000,212,9,10,727.269838,711.716408,0.021386,180.013,5558,0
1,2,581,61,72,42000,41997,270,9,10,908.963185,890.389679,0.020434,180.011,1105,1
1,3,591,71,78,41565,42000,302,9,10,1091.992283,984.480410,0.098455,180.006,1,1
1,4,581,84,70,40790,41993,312,9,10,1089.924591,1037.788428,0.047835,180.007,1,0
1,5,583,70,41,41993,41991,226,9,10,1413.943339,1350.416607,0.044929,180.005,1,1
1,6,591,45,87,44721,41965,268,9,10,1715.806649,1420.816105,0.171925,180.015,15,0
1,7,593,87,31,41965,41996,240,9,10,1082.560046,1013.391672,0.063893,180.009,57,0
1,8,584,31,33,41996,41970,132,9,10,822.216278,736.802743,0.103882,180.011,1930,1
1,9,593,34,29,43935,41999,130,2,10,822.206393,822.206393,0.000000,46.298,2884,0
1,10,591,29,15,41999,41730,92,9,10,1081.299050,1053.224035,0.025964,180.002,33638,0
1,11,588,15,17,41730,41381,68,2,10,1028.487464,1028.487464,0.000000,165.370,95404,0
1,12,584,17,2,41381,24855,42,2,7,542.993533,542.993533,0.000000,1.100,120,1
2,1,583,43,62,41997,42432,214,9,10,725.042113,710.516319,0.020034,180.007,5228,0
2,2,581,62,65,42432,42775,258,9,10,888.735769,876.508089,0.013759,180.006,4665,0
2,3,591,65,84,42775,40790,302,9,10,1213.747753,998.769281,0.177120,180.014,1,1
2,4,581,74,66,44806,39263,284,9,10,1021.700907,935.310960,0.084555,180.006,59,0
2,5,583,66,46,39263,44912,228,9,10,1492.923496,1320.564191,0.115451,180.015,3,1
2,6,591,42,87,44955,41965,262,9,10,1622.551849,1379.669676,0.149691,180.005,1,0
2,7,593,87,30,41965,40031,238,9,10,1113.943431,1015.515024,0.088360,180.008,244,0
2,8,584,30,34,40031,43935,132,9,10,859.058658,733.695929,0.145930,180.003,3288,1
2,9,593,28,28,39220,41077,116,2,10,680.607208,680.607208,0.000000,24.889,3585,0
